Bigrams:
ץÿ	0,006500
ךח	0,008211
הב	0,004447
סא	0,002395
ÿב	0,001711
מן	0,003421
ךמ	0,002053
ופ	0,001711
ÿל	0,002395
סך	0,016079
אם	0,006842
ûצ	0,001368
‎ז	0,005474
דכ	0,001368
שû	0,002053
גך	0,006158
עמ	0,001368
ü‎	0,000342
עט	0,000342
בÿ	0,004447
רך	0,001711
מק	0,001026
פל	0,000342
שק	0,005816
ךצ	0,003079
ני	0,006500
ץן	0,004447
חף	0,002053
םנ	0,001711
םר	0,011974
‎ה	0,000342
ץכ	0,002737
סמ	0,005474
ןז	0,001026
ןכ	0,000342
בי	0,000342
ûך	0,002053
דמ	0,001368
‎ח	0,003079
קק	0,001368
אח	0,003421
‏ר	0,008553
כצ	0,006500
נמ	0,000684
לד	0,001368
כע	0,000684
ÿה	0,002737
םח	0,004790
ףז	0,002053
ÿץ	0,003079
סז	0,003079
זנ	0,000684
סח	0,001711
ךע	0,000342
עפ	0,001368
ןל	0,004447
וכ	0,002737
ÿû	0,001026
צה	0,002053
ןך	0,000684
ךר	0,001368
מח	0,001368
‏ף	0,002053
גח	0,000684
דז	0,000684
שנ	0,001026
פÿ	0,001368
מ‎	0,000342
סק	0,003079
צר	0,001711
כז	0,004105
נה	0,001368
ךû	0,003079
קû	0,001368
עÿ	0,000342
הÿ	0,002053
אר	0,000684
די	0,000342
נל	0,000684
םם	0,001026
ץא	0,000342
מך	0,001368
שÿ	0,002395
קי	0,000684
עז	0,001711
לך	0,002737
קב	0,002395
ףפ	0,002053
רפ	0,002053
ךב	0,002395
ןח	0,003763
צÿ	0,001711
כÿ	0,002737
יב	0,000684
כך	0,001368
‏ם	0,002737
וü	0,001026
רמ	0,000684
כû	0,004790
ןû	0,002053
אב	0,003079
בכ	0,001368
ÿü	0,000684
יי	0,001026
םץ	0,000684
נר	0,000342
חÿ	0,000684
טמ	0,002053
יז	0,000342
טל	0,001026
ם‎	0,002053
גף	0,001368
דצ	0,001711
צû	0,002395
ûט	0,001368
םפ	0,000684
ûכ	0,001368
אכ	0,003079
ÿÿ	0,002395
ûז	0,002395
פח	0,000342
גב	0,001711
‎ו	0,000684
קÿ	0,001026
ץû	0,001711
ץמ	0,001026
דה	0,001026
עכ	0,002737
זז	0,000684
ס‎	0,000684
קח	0,002395
דן	0,000684
‎ב	0,000684
פץ	0,000342
םו	0,000684
עך	0,000342
חו	0,000342
אה	0,000684
üד	0,001026
ןף	0,002053
עû	0,002737
םש	0,001368
יא	0,000342
בא	0,001026
הû	0,001368
סכ	0,000342
הז	0,003079
‎ט	0,000342
שו	0,001368
וה	0,001368
ננ	0,000684
ץפ	0,001026
‎ן	0,001026
אן	0,000342
חק	0,000342
כמ	0,000342
שכ	0,000684
בצ	0,000684
‏ז	0,000342
סס	0,001026
זÿ	0,002395
םא	0,000342
פש	0,000342
üן	0,001026
‎י	0,001026
ûן	0,001368
חץ	0,003079
לר	0,001026
‏א	0,002053
ûה	0,000342
טפ	0,001368
בך	0,001368
פס	0,000684
הא	0,001711
‏ל	0,000342
אז	0,002053
צח	0,000342
קץ	0,000342
ףנ	0,000342
כן	0,000342
ףû	0,001026
זץ	0,000342
מה	0,000342
אÿ	0,001026
צü	0,000342
‏û	0,000342
חן	0,002737
כא	0,000342
üצ	0,000342
ץל	0,000342
ן‎	0,000342
גû	0,000684
וך	0,004447
ףח	0,001368
קך	0,000684
גד	0,000342
üח	0,000342
ץו	0,000342
םה	0,000684
‎ל	0,000684
ןה	0,001026
ûל	0,000342
ףה	0,000342
יÿ	0,000342
שח	0,002395
ר‎	0,000342
יפ	0,001026
צז	0,002053
הק	0,001026
גץ	0,001026
פט	0,000684
םט	0,000342
צי	0,000342
פף	0,001711
טא	0,000342
הר	0,000342
צמ	0,000342
ףכ	0,000342
‏ד	0,000342
ח‏	0,000342
‏ÿ	0,001368
ןר	0,000342
ץף	0,000342
יף	0,000342
ןן	0,001711
גק	0,001026
סû	0,001026
חז	0,000342
ףצ	0,001026
שף	0,001711
חג	0,001026
צפ	0,000342
‏ך	0,000684
בü	0,000342
רח	0,001711
ÿז	0,000342
ןע	0,001026
וק	0,001026
ככ	0,000342
כ‎	0,000342
חה	0,000342
üפ	0,001368
פנ	0,000342
ךס	0,001026
לג	0,000342
יק	0,001368
גכ	0,001026
ךק	0,000342
ûם	0,001026
מג	0,000342
בט	0,001711
גפ	0,000684
בן	0,000684
ץü	0,000342
‎ÿ	0,000342
ךש	0,000342
טע	0,000684
טב	0,000684
ÿך	0,000684
םי	0,000342
בד	0,000342
עד	0,000342
מר	0,000342
נך	0,000342
רן	0,000342
זצ	0,000684
קט	0,000342
ÿר	0,000342
הח	0,000342
אל	0,000684
וו	0,000342
רג	0,000342
פפ	0,000684
ûפ	0,000342
ז‎	0,000684
ץי	0,000342
ןם	0,000684
טג	0,001711
זך	0,000684
דר	0,001711
כק	0,000342
לנ	0,000684
ןפ	0,000684
רב	0,000342
üû	0,000342
זו	0,000342
שע	0,000342
מû	0,000342
דנ	0,000342
üכ	0,000342
כה	0,000342
רז	0,000684
סנ	0,000342
üט	0,000342
üא	0,000342
üר	0,001026
ח‎	0,000342
דם	0,000342
בע	0,000342
דש	0,000342
כב	0,000684
ףן	0,000342
הü	0,000342
ןב	0,000342
טה	0,000342
בל	0,000342
ךÿ	0,000342
פכ	0,000342
קז	0,000342
בפ	0,000684
ךו	0,000342
סף	0,000342
‎פ	0,000342
ך‏	0,000342
נף	0,000342
ץך	0,000342
וÿ	0,000684
‎ף	0,000342
‏נ	0,000342
חח	0,000342
ÿן	0,000342
יג	0,000342
זי	0,000684
רץ	0,000342
רü	0,000342
ךץ	0,000342
נכ	0,001026
וד	0,000342
אû	0,000342
רט	0,000342
וע	0,000342
טÿ	0,000342
אך	0,000342

